#SYMBOL,MAIN_EXCHANGE,DESCRIPTION,IB_CONTRACT_ID,SCHEDULED_INELIGIBILTY_DATE
DMID,TSE,DESJARDINS MID CAP INDEX ETF,810091446,
GP,NASDAQ,GREENPOWER MOTOR CO INC,810091472,
KOYNU,NASDAQ,CSLM DIGITAL ASSET ACQUISITI,810091748,
CITR,AMEX,CITROTECH INC,810290796,
TC,NASDAQ,TOKEN CAT LTD,810303130,
RSCC.U,AEQLIT,GLOBAL X RUSSELL 2000 CC,810304410,
SEGG,NASDAQ,SPORTS ENTERTAINMENT GAMING,810304415,2026-04-20
SEGG,NASDAQ,SPORTS ENTERTAINMENT GAMING,810304415,2026-04-20
SEGG,NASDAQ,SPORTS ENTERTAINMENT GAMING,810304415,2026-04-20
SEGG,NASDAQ,SPORTS ENTERTAINMENT GAMING,810304415,2026-04-20
MULT,NASDAQ,FRANKLIN MULTISECTO INCO ETF,810304505,
CEML,IBIS2,ISHR MSCI EUR QULT DVD A ETF,810306213,
CEMJ,IBIS2,ISHAR CORP BND ESG SRI U ETF,810306223,
CEMK,IBIS2,ISHARES EURO GOVT BOND 0-1YR,810306225,
CEMM,IBIS2,ISHARES CORE UK GILTS U ETF,810306235,
XDEF,IBIS2,XEUROPE DEFENCE TECHNOLOG 1C,810306238,
CEMI,IBIS2,ISHAR MSCI USA SRI UCITS ETF,810306249,
FRIZ,ARCA,FRK DIVIDEND GROWTH ETF,810311853,
BNDD,ARCA,QUADRATIC DEFLATION ETF,810313808,
MCOW,BATS,PCR S&P MC 400 Q FCF ARIST,810314327,
SCOW,BATS,PCR S&P SC 600 Q FCF ARST,810315183,
YDES,NASDAQ,YD BIO LTD,810315819,
LCID,NASDAQ,LUCID GROUP INC,810758322,
CH2,FWB2,LUCID GROUP INC,810758327,
QCLS,NASDAQ,Q/C TECHNOLOGIES INC,810759401,
RNRG,NASDAQ,GLOBAL X RENEWABLE ENER PROD,810759410,
DDTS,BATS,INNV EQTY DD 10 BUF ETF-SEP,810784491,
DDFS,BATS,INNOVATO EQU DU DI 15 BU ETF,810784494,
PMSE,BATS,PGIM S&P 500 MF ETF - SEP,810784496,
TWM,TSE,TIDEWATER MIDSTREAM AND INFR,810789643,
SSB,NYSE,SOUTHSTATE BANK CORP,811021444,
GNOM,NASDAQ,GLOBAL X GENOMICS & BIOTECHN,811021451,
HEAL,NASDAQ,GLOBAL X HEALTHTECH ETF,811021454,
KROP,NASDAQ,GLOBAL X AGTECH & FOOD INNOV,811021456,
CTEC,NASDAQ,GLOBAL X CLIMATETECH ETF,811021461,
ERD,TSE,ERDENE RESOURCE DEVELOPMENT,811025235,
ABTC,NASDAQ,AMERICAN BITCOIN CORP-A,811025395,2026-04-20
TOT,ARCA,LIONSHARES US EQ TOT RET ETF,811025401,
AGIQ,ARCA,SOFI AGENTIC AI ETF,811031866,
ELVR,NASDAQ,ELEVRA LITHIUM LTD,811031874,
NMP,NASDAQ,NMP ACQUISITION CORP - A,811031947,
MHDC,TSE,MACKENZIE CDN HIGH DIV YLD,811031952,
MCYC,TSE,MACKENZIE CYCLICAL TILT ETF,811031957,
MDEF,TSE,MACKENZIE DEFENSIVE TILT ETF,811031962,
MHDU,TSE,MACK US HIGH DIVD YLD ETF,811031967,
PAII,NYSE,PYROPHYTE ACQUISITION CORP-A,811280215,
WQTM,SBF,WISDOMTREE QUANTUM COMP ETF,811287269,
XSWC,IBIS2,XTRCKRS MSCI WRLD SML CP ETF,811289620,
FING B,SFB,FINGERPRINT CARDS AB-B,811461795,
CLOR,EBS,ISHARES USD AAA CLO ACT U ET,811461804,
QWTM,LSEETF,WISDOMTREE QUANTUM COMP ETF,811461829,
CNTB,NASDAQ,CONNECT BIOPHARMA HOLDINGS L,811461841,
BULX,NASDAQ,GRANITE 2X LONG BULL ETF,811465098,
ETRL,NASDAQ,GRANITE 2X LONG ETOR ETF,811465693,
TOPW,BATS,ROUNDHILL TOP WEEKLYPAY ETF,811467197,
TDAQ,BATS,TAPPALPHA IN 100 GR & DI ETF,811467200,
ANEL,NASDAQ,DEFIANCE DT 2X LG ANET ETF,811472771,
GSRFU,NASDAQ,GSR IV ACQUISITION CORP,811472777,
AGM PRH,NYSE,FEDERAL AGRIC MTG CORP NON-CUMULATI,811725984,
ETCO,ARCA,GRAYSCALE ETHER COV CALL ETF,811735326,
HYFT,NASDAQ,MINDWALK HOLDINGS CORP,811737700,
SOS,NYSE,SOS LTD-A,811739086,
SVACU,NASDAQ,SPRING VALLEY ACQUISITION CO,811746126,
BRKRP,NASDAQ,BRUKER CORP,812124748,
XSWD,LSEETF,XTRCKRS MSCI WRLD SML CP ETF,812132585,
WAI,NASDAQ,TOP KINGWIN LTD-A,812132611,
GLXG,NASDAQ,GALAXY PAYROLL GROUP LTD-A,812132617,
OLOX.OLD,NASDAQ,OLENOX INDUSTRIES INC,812132631,
SDST,NASDAQ,STARDUST POWER INC,812134751,
GE,TSE,GENERAL ELECTRIC,812144259,
TLNCU,NASDAQ,TALON CAPITAL CORP,812185102,
SOCA,NASDAQ,SOLARIUS CAPITAL ACQUIS-CL A,812185104,
SEPI,ARCA,SHELTON EQTY PREMIUM INC ETF,812201765,
BLZRU,NASDAQ,TRAILBLAZER ACQUISITION CORP,812212969,
GO.U,TSE,GO RESIDENTIAL REAL EST,812475590,
LABD,ARCA,DIRE DLY SP BT BE 3X ETF-USD,812475642,
SPXS,ARCA,DIREX DAI SEMI BE 3X ETF-USD,812475659,
EDZ,ARCA,DIREXION DAILY MSCI EMERGING,812475662,
FAZ,ARCA,DIREX DLY FIN BEA 3X ETF-USD,812475674,
ONCH,NASDAQ,1RT ACQUISITION CORP-A,812484548,
ORIQ,NASDAQ,ORIGIN INVESTMENT CORP I,812484627,
OXLC,NASDAQ,OXFORD LANE CAPITAL CORP,812506853,
SPEG,NASDAQ,SILVER PEGASUS ACQUISITION-A,812511719,
ZTG,NASDAQ,ZENTA GROUP CO LTD-CL A,812511720,
PFIN,TSE,PICTON INCOME FUND,812511725,
AUGZ,BATS,TS STR OUTCOME AUG ETF,812511731,
JULZ,BATS,TS STR OUTCOME JUL ETF,812511734,
KLAR,NYSE,KLARNA GROUP PLC,812511737,
BND.U,TSE,PURPOSE GLOBAL BOND FUND,812786680,
AGNCZ,NASDAQ,AGNC INVESTMENT CORP,812803296,
ACKY,ARCA,VISTASHARES TAR15 AC INC ETF,812803323,
SQNS,NYSE,SEQUANS COMMUNICATIONS-ADR,812809135,
STKH,NASDAQ,STEAKHOLDER FOODS LTD-ADR,812810844,
BIGY,TSE,EVOLVE US EQUITY ULTRAYIELD,812812281,
LMT,TSE,LOCKHEED MARTIN CORP-CDR,812813354,
COIN,TSE,COINBASE GLOBAL INC-CDR,812813359,
FMR,TSE,FUTURE MINERAL RESOURCES INC,812821421,
COIA,ARCA,PROSHARES ULTRA COIN,812848028,
NVDB,ARCA,PROSHARES ULTRA NVDA,812848408,
PLTA,ARCA,PROSHARES ULTRA PLTR,812848413,
TSLI,ARCA,PROSHARES ULTRA TSLA,812848417,
ICPY,ARCA,TWDY BRWN INTL INSDR+VAL ETF,812848420,
GMEY,ARCA,YM GME OPT INC STRAT ETF,812852376,
RDYY,ARCA,YM RDDT OPTION INC STRAT ETF,812853285,
PONX,BATS,TRADR 2X LNG PONY DLY ETF,812853290,
ANGX,NYSE,ANGEL STUDIOS INC,812853295,
LFAI,BATS,LIFEX 2050 LONGEVITY INCOME,812925599,
LFAW,BATS,LIFEX 2060 LONGEVITY INCOME,812991035,
LFAO,BATS,LIFEX 2055 LONGEVITY INCOME,812991774,
LFDR,BATS,LIFEX DURABLE INCOME ETF,813033292,
LFBE,BATS,LIFEX 2065 LONGEVITY INCOME,813033298,
LIAM,BATS,LIFEX 2055 INF-PRT LONG-INC,813041558,
LIBD,BATS,LIFEX 2065 INF-PRT LONG-INC,813041561,
LIAU,BATS,LIFEX 2060 INF-PRT LONG-INC,813041564,
LIAE,BATS,LIFEX 2050 INF-PRT LONG-INC,813041568,
APLX,BATS,TRADR 2X LNG APLD DLY ETF,813051586,
NEBX,BATS,TRADR 2X LNG NBIS DLY ETF,813051592,
NVTX,BATS,TRADR 2X LNG NVTS DLY ETF,813051597,
MLHL,LSE,MALIBU LIFE HOLDINGS LTD,813056036,
METL,NASDAQ,SPROTT ACT METALS&MINERS ETF,813058454,
SMOM,NASDAQ,SYMMETRY PANORAMIC SCTR MMNT,813061572,
ITOL.OLD,VALUE,TEMA INTL DURABLE QLTY ETF,813062930,2026-05-14
PRSD,ARCA,SS SHRT DUR IG PUB&PRIV CRED,813092612,
VIA,NYSE,VIA TRANSPORTATION INC-CL A,813093254,
FIGR,NASDAQ,FIGURE TECHNOLOGY SOLUT-CL A,813325480,
LBRX,NASDAQ,LB PHARMACEUTICALS INC,813330117,
BNP,AEQLIT,BNP PARIBAS SA,813330132,
TTE,AEQLIT,TOTALENERGIES SE,813330142,
LOR,AEQLIT,LOREAL SA,813330146,
HERM,AEQLIT,HERMES INTERNATIONAL SCA,813330151,
LV,AEQLIT,LVMH MOET HENNESSY LOUIS VUI,813330152,
VMET,NASDAQ,VERSAMET ROYALTIES CORP,813336484,
VMET,TSE,VERSAMET ROYALTIES CORP,813336491,
WCAP,ARCA,WARCAP UNCONSTRAINED EQ ETF,813337070,
ZBBZ.F,AEQLIT,BMO BBB CLO ETF,813337072,
ZBBZ,AEQLIT,BMO BBB CLO ETF,813337077,
CHECU,NASDAQ,CHENGHE ACQUISITION III CO,813337082,
BDSX,NASDAQ,BIODESIX INC,813720005,
SDOT,NASDAQ,SADOT GROUP INC,813722688,
BRCB,NASDAQ,BLACK ROCK COFFEE BAR INC-A,813722940,
GEMI,NASDAQ,GEMINI SPACE STATION INC-A,813722945,
LGN,NASDAQ,LEGENCE CORP-CL A,813722948,
RAUS,NASDAQ,RACWI US ETF,813722955,
WDAF,NASDAQ,WISDOMTREE ASIA DEFENSE FD,813722958,
WDGF,NASDAQ,WISDOMTREE GLOBL DEF FD,813722960,
CAAS,NASDAQ,CHINA AUTOMOTIVE SYSTEMS INC,813725057,
FOFO,NASDAQ,HANG FENG TECHNOLOGY INNOVAT,813731141,
OTGAU,NASDAQ,OTG ACQUISITION CORP I,813731146,
ZBBZ.U,AEQLIT,BMO BBB CLO ETF,813754808,
NXTT,NASDAQ,NEXT TECHNOLOGY HOLDING INC,814019511,
BDVL,NASDAQ,ISHARES DV EQUITY ACTIVE ETF,814021587,
BDYN,NASDAQ,ISHARES DYN ACT ETF,814021590,
SYZ,NASDAQ,LAZARD US SYTEM SM CAP ETF,814025537,
DPM,TSE,DPM METALS INC,814025540,
MLCI,NASDAQ,MOUNT LOGAN CAPITAL INC,814025547,
AFRU,BATS,T-REX 2X LG AFRM DA TAR ETF,814035332,
KTUP,BATS,T-REX 2XL KTOS D TARGET ETF,814035342,
WSBCO,NASDAQ,WESBANCO INC,814035383,
GECCG,NASDAQ,GREAT ELM CAPITAL CORP,814035776,
DIVE,ARCA,DANACONCENTRATEDDIVIDENDETF,814089442,
DUNK,ARCA,DANA UNCONSTRAINED EQ ETF,814089447,
CLSX,BATS,TRADR 2X LONG CLSK DAILY ETF,814089448,
NUSA.F,TSE,NBI ACT US EQ ETF CAD HEDGED,814089468,
TDNA,TSE,TD N. AMER. DIVIDEND-ETF,814089474,
STUB,NYSE,STUBHUB HOLDINGS INC-CLASS A,814089479,
WBI,NYSE,WATERBRIDGE INFRASTRUC-CL A,814089480,
NCPB,TSE,NBI CAN CORE PLUS BOND FUND,814516976,
NTGD,TSE,NBI TAR29 GRADE BOND FUND,814516981,
AMYY,NASDAQ,GRANITE YIELDBOOST AMD ETF,814526878,
AZYY,NASDAQ,GRANITE YIELDBOOST AMZN ETF,814526882,
PVS.PR.U,TSE,PARTNERS VALUE SPLIT,814528649,
IGGY,ARCA,AB INTERNATIONAL GROWTH ETF,814529008,
NIHI,BATS,NEOS MSCI EAFE HIGH INCOME-U,814529293,
TTDU,BATS,T-REX 2XL TTD DAILY TAR ETF,814529302,
VGHY,BATS,VANGUARD HIGH-YIELD ACT ETF,814529308,
NBUE,TSE,NATIONAL BANK US EQ ETF FNB,814542344,
NBUE.F,TSE,NBI US EQUITY - ETFH SERIES,814542349,
BRBI,NASDAQ,BR ADVISORY PARTNERS PARTICI,814542355,
GBSL,TSE,NINEPOINT GLOBAL SELECT FUND,814542358,
NTGE,TSE,NBI TGT 2030 INV BD FD/ETF,814775747,
NTGF,TSE,NBI TGT 2031 INV GR BD/ETF,814775750,
NBIE,TSE,NBI INTL EQUITY - ETF SER,814775753,
NINV.F,TSE,NBI INNOVATORS FUND,814775756,
NINV,TSE,NBI INNOVATORS FUND,814775762,
NBQC,TSE,NBI QUEBEC GRWTH FND ETF,814775767,
NBGE.F,TSE,NATIONAL BANK GLBL EQTY ETFH,814776116,
U.U,TSE,SPROTT PHYSICAL URANIUM TR,814785111,
LONA,NASDAQ,LEONABIO INC,814785157,
BSMZ,NASDAQ,INVES BLTSHRS 2035 MB ETF,814787112,
MYMK,NASDAQ,STATE STREET MY2031 MUNICIPA,814787117,
MYCO,NASDAQ,STATE STREET MY2035 CORPORAT,814787123,
MJSC,ARCA,MUFG JAPAN S CAP ACTIVE ETF,814788822,
DOJE,BATS,REX-OSPREY DOGE ETF,814788825,
XRPR,BATS,REX-OSPREY XRP ETF,814788828,
SRSL,TSE,BTPR -3X RL 2000 D L B A ETF,814788832,
QQI,TSE,BETAPRO NSDQ 100 DLY INV ETF,814788864,
TRSL,TSE,BETAPRO 3X RUSS2000 DLB ALT,814794850,
CANY,TSE,EVOLVE CDN EQUITY ULTRAYIELD,814794855,
CIMP,NYSE,CHIMERA INVESTMENT CORP,814794856,
NBIE.F,TSE,NBI INTL EQUITY ETFH SER,814795297,
NSDU.F,TSE,NBI SMARTDATA US EQ ETFH,814795300,
NSDU,TSE,NBI SMARTDATA US EQ ETF,814795307,
NSDI,TSE,SMARTDATA INT EQ FD ETF,814795310,
NSDI.F,TSE,SMARTDATA INT EQ FD ETFH,814795312,
NBGE,TSE,NATIONAL BANK GLBL EQTY ETF,814795317,
NBSC,TSE,NBI GLOBAL SMALL CAP ETF,814795322,
NBSC.F,TSE,NBI GLOBAL SMALL CAP ETFH,814795327,
CDIG,NASDAQ,CITY DIF INVEST GLOBAL E ETF,814795330,
MANI,ARCA,MAN ACTIVE INCOME ETF,814795335,
MHY,ARCA,MAN ACTIVE HIGH YIELD ETF,814795336,
R9G0,FWB2,PMET RESOURCES INC,815029840,
SAN,AEQLIT,SANOFI SA,815035193,
AXA,AEQLIT,AXA SA,815035196,
SOCG,AEQLIT,SOCIETE GENERALE SA,815035201,
RHM,AEQLIT,RHEINMETALL AG,815035211,
HEIA,AEQLIT,HEINEKEN NV,815035214,
COTG,NASDAQ,LEVERAGE SHARES 2X COST,815036792,
VOR,NASDAQ,VOR BIOPHARMA INC,815036797,
BIAF,NASDAQ,BIOAFFINITY TECHNOLOGIES INC,815036802,
QLDY,NASDAQ,DEF NASDAQ 100 LS INC ETF,815039684,
NTSK,NASDAQ,NETSKOPE INC-CL A,815043077,
PMET,TSE,PMET RESOURCES INC,815043082,
QQCC.U,TSE,GLOBAL X NASDAQ-100 COVERED,815048727,
KOYN,NASDAQ,CSLM DIGITAL ASSET ACQU - A,815074612,
LATAU,NASDAQ,GALATA ACQUISITION CORP II,815074619,
WEQW,AEB,ISHRS MSCI WS CNEW UCITS ETF,815783228,
BINI,PINK,BOLLINGER INNOVATIONS INC,815815177,
PTRN,NASDAQ,PATTERN GROUP INC-CL A,815816891,
QMAX.U,TSE,HAMILTON TECH YIELD MAXI ETF,815818035,
SLCA,TSE,SUN LIFE C ADV CRED PVT POOL,815818125,
SLSC,TSE,SUN LIFE CRES SPEC PRV PL-F,815818131,
SLGC,TSE,SUN LIFE FINANCIAL INC,815818134,
HZ,PURE,HERTZ ENERGY INC,815818137,
DLAG,BATS,FT VEST US EQT DD BUFF AUG,815823106,
PLTS,NASDAQ,PLATINUM ANALYTICS CAYM-CL A,815846706,
PCR,ARCA,SIMPLIFY VETTAFI PRV CRD STR,816106865,
HCMA,NASDAQ,HCM III ACQUISITION COR-CL A,816120792,
DTK,NYSE,DTE ENERGY CO,816850969,
HIYY,ARCA,YIELDMAX HIMS OP INC STR ETF,816865073,
HYP,NASDAQ,GOLDEN EAGLE DYC H GROW ETF,816871966,
MTYY,NASDAQ,GRANITE YIELDBOOST MSTR ETF,816871970,
PLYY,NASDAQ,GRANITE YIELDBOOST PLTR ETF,816871975,
BITK,BATS,TTL CP BTCN 0DTE CVRD CL-USD,816873084,
GXLC,ARCA,GLOBAL X US 500 ETF,816879106,
NHYB,ARCA,NUVEEN HIGH YILD CORP BD ETF,816879111,
NXUS,ARCA,NUVEEN INTNATINAL AGG BD ETF,816879112,
NSCI,ARCA,NUVEEN SECURITIZED INCOM ETF,816879117,
BCKT,BATS,LIFEX 2030 INCOME BUCKET ETF,816879123,
MMID,NYSE,MFS ACTIVE MID CAP ETF,816879126,
LIFT,BATS,LIFEX 2028 INCOME BUCKET ETF,817182206,
USAX,LSEETF,WT GLB EX-USA QLTY DIV GRWTH,817189924,
MNDR,NASDAQ,MOBILE-HEALTH NETWORK SOLUTI,817191858,2026-04-20
MNDR,NASDAQ,MOBILE-HEALTH NETWORK SOLUTI,817191858,2026-04-20
MNDR,NASDAQ,MOBILE-HEALTH NETWORK SOLUTI,817191858,2026-04-20
MNDR,NASDAQ,MOBILE-HEALTH NETWORK SOLUTI,817191858,2026-04-20
DYNB,NASDAQ,HARTFORD DYNAMIC BOND ETF,817192871,
MKTN,ARCA,FED HRMS MDT MKT NEUTRAL ETF,817194234,
ESK,BATS,REX-OSPREY ETH + STAKING ETF,817194251,
LPAY.U,TSE,GLB X L TERM US TRY YLD ETF,817201652,
CHRI,NASDAQ,GLOBAL X S&P 500 CHR VAL ETF,817230104,
AEXA,NYSE,AMERICAN EXCEPTIONALISM-CL A,817230116,
FCRS U,NYSE,FUTURECREST ACQUISITION CORP,817230123,
POW.PR.H,TSE,POWER CORPORATION CANADA,817555331,
GEW,NASDAQ,CAMBRIA GLOBAL EW ETF,817558351,
ARMY,NASDAQ,TEMA INTERNL DFNS ETF-USD IN,817558486,
LVO,NASDAQ,LIVEONE INC,817558942,
CRCD,BATS,T-REX 2X INV CRCL DA TAR ETF,817579031,
CORD,BATS,T-REX 2X INV CRWV DA TAR ETF,817579032,
BMNU,BATS,T-REX 2X LG BMNR DT ETF,817579037,
KDK,NASDAQ,KODIAK AI INC,817585711,
ACEI,ARCA,INNOVATOR EQ AUT INC STR ETF,817585953,
ACII,ARCA,INNOVATOR INDEX AC IN ST ETF,817585956,
DMIIU,NASDAQ,DRUGS MADE IN AMERICA ACQUIS,817585963,
GWO.PR.Z,TSE,GREAT-WEST LIFECO INC,817634282,
CR6,FWB2,WOLFSPEED INC,817815737,
WOLF,NYSE,WOLFSPEED INC,817815740,
FLNT,TSE,FLINT CORP,817957101,
RITM PRE,NYSE,RITHM CAP CORP SER E FXD-RATE CUMUL,817957145,
NVDD,NASDAQ,DIREXION DAILY NVDA BEAR 1X,817966017,
LESL,NASDAQ,LESLIE'S INC,817966679,
CETX,NASDAQ,CEMTREX INC,817967413,2026-04-20
ORKT,NASDAQ,ORANGEKLOUD TECHNOLOGY INC,817967418,
CNQQ,NASDAQ,RAYLIANT-CHINAAMC TR C T ETF,817967736,
JEDI,ARCA,DEFIANCE DRONE & MOD WAR ETF,817976191,
KNRX,AMEX,KNOREX LTD CL-A,817976192,
DHLX,ARCA,DIAMOND HILL LC CONCEN ETF,817976197,
JFLX,ARCA,JPMORGAN FLEXIBLE DEBT ETF,817976202,
WNGA,BVME.ETF,ISHR FAL ANGL HI YLD CBD ETF,818261733,
EASY,NASDAQ,LIBERTY ONE DEF DIV GROWTH,818268341,
AGPU,NASDAQ,AXE COMPUTE INC,818268365,
YAAS,NASDAQ,YOUXIN TECHNOLOGY LTD-CL A,818268377,2026-04-20
SPCT,NASDAQ,LIBERTY ONE SPECTRUM ETF,818271116,
LOTI,NASDAQ,LIBERTY TACTICAL INC ETF,818271122,
IBG,NASDAQ,INNOVATION BEVERAGE GROUP LT,818274325,
SFGYY,PINK,SONY FINANCIAL GROUP INC-ADR,818284899,
PCLG,ARCA,POLEN FOCUS GROWTH ETF,818284905,
KSLV,BATS,KURV SILVER ENHANCED INC ETF,818284908,
SVAC,NASDAQ,SPRING VALLEY ACQUISITION-A,818284914,
BCSS U,NYSE,BAIN CAPITAL GSS INVESTMENT,818284919,
