rank,percentile,ticker,score,sector,market_cap,price,liquidity,pe_ratio,fcf_yield,earnings_yield,ttm_gross_margin,ttm_operating_margin,debt_to_ebitda,roa,top_factor,value_trap,missing_factor_count,data_quality,feature_available_date
1251,5.0%,AOSL,-0.6,TECHNOLOGY,1B,43.4,58M,57.1,-3.2%,-8.0%,22.5%,-5.9%,0.5,-10.3%,high_earnings_yield,False,1,partial,2026-03-01
1252,4.9%,SLG,-0.6,REAL ESTATE,3B,42.4,59M,108.3,-19.3%,-2.9%,58.2%,42.7%,3.3,-0.8%,high_fcf_yield,False,0,good,2026-03-31
1253,4.9%,TAP,-0.6,CONSUMER DEFENSIVE,8B,42.7,149M,8.2,13.2%,-26.4%,37.6%,-21.0%,0.1,-9.4%,high_earnings_yield,False,0,good,2026-03-31
1254,4.8%,LUMN,-0.6,COMMUNICATION SERVICES,9B,8.8,123M,1.6,4.2%,-19.7%,46.5%,-6.5%,0.3,-5.1%,high_earnings_yield,False,0,good,2026-03-31
1255,4.7%,VICR,-0.6,TECHNOLOGY,13B,269.3,239M,107.3,0.9%,0.9%,57.3%,18.1%,0.0,15.1%,low_ps,False,0,good,2026-03-31
1256,4.6%,BLFS,-0.6,HEALTHCARE,1B,22.0,9M,170.0,1.2%,-1.1%,64.6%,-12.6%,2.6,-3.0%,low_ps,False,1,partial,2026-03-31
1257,4.6%,MPWR,-0.6,TECHNOLOGY,79B,1614.4,1B,129.1,0.8%,0.8%,55.2%,26.1%,0.0,14.7%,low_ps,False,0,good,2026-03-31
1258,4.5%,UCTT,-0.6,TECHNOLOGY,4B,78.2,86M,36.2,0.4%,-5.1%,15.7%,-5.2%,8.0,-10.5%,low_evebitda,False,1,partial,2026-03-31
1259,4.4%,TFX,-0.6,HEALTHCARE,6B,133.1,143M,28.5,4.2%,-15.4%,53.3%,9.7%,1.8,-13.0%,high_earnings_yield,False,0,good,2026-03-31
1260,4.3%,CURB,-0.7,REAL ESTATE,3B,27.6,22M,82.3,3.3%,1.2%,74.9%,16.7%,,1.6%,low_ps,False,1,partial,2026-03-31
1261,4.3%,ARWR,-0.7,HEALTHCARE,10B,72.7,140M,48.3,3.3%,2.1%,97.7%,27.6%,0.2,12.6%,low_ps,False,1,partial,2026-03-01
1262,4.2%,FNV,-0.7,BASIC MATERIALS,45B,232.1,164M,40.0,-6.3%,2.5%,73.9%,74.2%,0.3,13.6%,low_ps,False,0,good,2026-03-31
1263,4.1%,AVGO,-0.7,TECHNOLOGY,2.1T,430.0,8B,84.2,1.4%,1.2%,67.1%,40.9%,0.1,14.7%,low_ps,False,0,good,2026-04-01
1264,4.0%,C,-0.7,FINANCIAL SERVICES,245B,127.4,2B,17.1,-39.7%,5.8%,44.6%,11.8%,19.6,0.5%,high_fcf_yield,False,0,good,2026-03-31
1265,4.0%,CIEN,-0.7,TECHNOLOGY,80B,548.1,1B,348.9,0.8%,0.3%,40.6%,8.2%,0.1,3.9%,low_ps,False,1,partial,2026-04-01
1266,3.9%,UAA,-0.7,CONSUMER CYCLICAL,3B,6.4,43M,19.4,-1.7%,-19.0%,46.6%,-2.5%,8.2,-11.2%,high_earnings_yield,False,1,partial,2026-03-01
1267,3.8%,KRMN,-0.7,INDUSTRIALS,9B,68.0,130M,518.0,-0.5%,0.2%,33.6%,15.5%,0.1,1.6%,low_ps,False,1,partial,2026-03-31
1268,3.7%,PMT,-0.7,REAL ESTATE,1B,12.2,13M,8.3,-53.4%,12.1%,56.2%,43.4%,11.9,0.6%,high_fcf_yield,False,0,good,2026-03-31
1269,3.6%,IP,-0.7,CONSUMER CYCLICAL,16B,30.4,268M,60.9,-1.0%,-21.7%,29.5%,-11.3%,0.9,-9.3%,high_earnings_yield,False,0,good,2026-03-31
1270,3.6%,STAA,-0.8,HEALTHCARE,1B,26.7,20M,40.0,-2.7%,-6.1%,75.6%,-33.3%,0.1,-17.4%,high_earnings_yield,False,1,partial,2026-03-31
1271,3.5%,ASH,-0.8,BASIC MATERIALS,2B,53.3,48M,16.5,11.8%,-28.2%,25.2%,5.0%,0.0,-15.3%,high_earnings_yield,False,0,good,2026-03-01
1272,3.4%,CRDO,-0.8,TECHNOLOGY,35B,188.5,1B,103.5,0.8%,1.0%,67.8%,30.2%,0.0,16.7%,low_ps,False,1,partial,2026-04-01
1273,3.3%,WD,-0.8,FINANCIAL SERVICES,2B,54.6,13M,32.0,-37.3%,3.1%,58.5%,11.1%,6.8,1.1%,high_fcf_yield,False,0,good,2026-03-31
1274,3.3%,XRAY,-0.8,HEALTHCARE,2B,11.8,52M,18.7,4.4%,-25.5%,50.0%,6.8%,5.0,-11.0%,high_earnings_yield,False,0,good,2026-03-31
1275,3.2%,MTSI,-0.8,TECHNOLOGY,28B,359.9,355M,171.3,0.5%,0.6%,54.5%,15.2%,1.2,7.7%,low_ps,False,1,partial,2026-03-01
1276,3.1%,MARA,-0.9,FINANCIAL SERVICES,5B,12.9,542M,3.4,-6.8%,-28.5%,37.0%,-16.0%,0.8,-17.7%,high_earnings_yield,False,1,partial,2026-03-31
1277,3.0%,AAOI,-0.9,TECHNOLOGY,11B,148.9,2B,20.5,-3.4%,-0.3%,30.0%,-12.0%,7.0,-3.3%,low_ps,False,1,partial,2026-03-31
1278,3.0%,WKC,-0.9,ENERGY,1B,27.0,25M,79.6,16.2%,-43.8%,1.4%,0.7%,0.6,-10.5%,high_earnings_yield,False,0,good,2026-03-31
1279,2.9%,CCOI,-0.9,COMMUNICATION SERVICES,1B,22.6,30M,82.4,-18.3%,-16.8%,32.1%,-10.6%,0.4,-5.9%,high_earnings_yield,False,0,good,2026-03-31
1280,2.8%,MXL,-0.9,TECHNOLOGY,6B,70.8,469M,19.1,0.1%,-2.2%,56.5%,-21.8%,1.0,-17.2%,low_ps,False,1,partial,2026-03-31
1281,2.7%,SNDK,-1.0,TECHNOLOGY,172B,1096.5,18B,8.4,0.8%,-0.6%,34.8%,13.9%,0.0,-8.0%,low_ps,False,1,partial,2026-03-01
1282,2.7%,VYX,-1.0,TECHNOLOGY,1B,8.3,16M,1.7,-39.6%,-1.3%,23.7%,2.6%,0.2,-0.4%,high_div_yield,False,0,good,2026-03-31
1283,2.6%,ADC,-1.0,REAL ESTATE,8B,77.1,85M,40.6,-40.9%,2.5%,87.7%,47.4%,4.8,2.1%,high_fcf_yield,False,0,good,2026-03-31
1284,2.5%,NEOG,-1.0,HEALTHCARE,2B,9.1,20M,2162.0,-0.3%,-30.9%,39.9%,-3.7%,0.0,-18.1%,high_earnings_yield,False,1,partial,2026-04-29
1285,2.4%,CLF,-1.0,BASIC MATERIALS,6B,10.2,198M,138.1,-17.8%,-25.6%,-4.5%,-8.2%,0.3,-7.4%,high_earnings_yield,False,0,good,2026-03-31
1286,2.4%,RIOT,-1.1,FINANCIAL SERVICES,6B,17.2,423M,16.0,-14.7%,-11.1%,-15.6%,-61.8%,1.3,-16.8%,high_fcf_yield,False,0,good,2026-03-31
1287,2.3%,EFC,-1.1,REAL ESTATE,1B,13.2,19M,9.0,-70.2%,11.1%,88.6%,63.0%,5.9,0.8%,high_fcf_yield,False,0,good,2026-03-31
1288,2.2%,PENN,-1.1,CONSUMER CYCLICAL,2B,17.5,77M,4.5,-7.2%,-36.1%,30.6%,-7.9%,15.8,-5.9%,high_div_yield,False,0,good,2026-03-31
1289,2.1%,DDOG,-1.1,TECHNOLOGY,73B,200.2,1B,677.6,1.4%,0.1%,79.9%,-1.3%,0.2,1.6%,low_ps,False,1,partial,2026-03-31
1290,2.1%,LSCC,-1.2,TECHNOLOGY,17B,122.3,305M,5526.8,0.8%,0.0%,66.5%,2.4%,0.1,0.3%,low_pe,False,1,partial,2026-03-31
1291,2.0%,CIFR,-1.2,TECHNOLOGY,7B,17.7,518M,95.2,-8.5%,-2.8%,20.2%,-67.2%,0.1,-3.2%,low_ps,False,1,partial,2026-03-31
1292,1.9%,ALAB,-1.2,TECHNOLOGY,35B,194.7,1B,161.0,0.8%,0.6%,75.7%,20.3%,0.0,14.3%,low_ps,False,1,partial,2026-03-31
1293,1.8%,COHU,-1.2,TECHNOLOGY,2B,47.4,73M,50.8,0.5%,-3.3%,34.5%,-13.3%,6.0,-6.0%,low_evebitda,False,0,good,2026-03-31
1294,1.7%,TTWO,-1.2,COMMUNICATION SERVICES,40B,220.4,319M,122.2,1.2%,-9.8%,56.0%,-5.1%,2.1,-39.6%,high_earnings_yield,False,0,good,2026-03-01
1295,1.7%,MRNA,-1.3,HEALTHCARE,18B,45.9,353M,24.0,-11.3%,-15.6%,14.1%,-158.2%,0.2,-22.9%,high_earnings_yield,False,1,partial,2026-03-31
1296,1.6%,FMC,-1.3,BASIC MATERIALS,2B,15.4,45M,18.9,-11.5%,-29.1%,37.0%,-54.4%,10.0,-23.1%,high_earnings_yield,False,0,good,2026-03-31
1297,1.5%,SRPT,-1.3,HEALTHCARE,3B,20.9,62M,25.8,-12.5%,-28.0%,61.8%,-31.8%,0.4,-21.3%,high_earnings_yield,False,1,partial,2026-03-31
1298,1.4%,LITE,-1.3,TECHNOLOGY,87B,902.3,5B,345.0,-0.0%,0.3%,33.4%,1.2%,20.2,5.2%,low_ps,False,1,partial,2026-03-01
1299,1.4%,VNOM,-1.3,ENERGY,8B,49.4,81M,59.4,-62.5%,-2.2%,48.2%,45.3%,0.5,-1.4%,high_fcf_yield,False,0,good,2026-03-31
1300,1.3%,TWO,-1.3,REAL ESTATE,1B,11.6,27M,59.4,-1.2%,-36.3%,101.0%,55.2%,187.4,-4.2%,high_earnings_yield,False,0,good,2026-03-31
1301,1.2%,SITM,-1.3,TECHNOLOGY,15B,562.1,264M,4563.7,0.2%,-0.3%,53.6%,-19.6%,0.1,-3.3%,low_pe,False,1,partial,2026-03-31
1302,1.1%,ARE,-1.4,REAL ESTATE,8B,40.5,117M,86.6,-48.8%,-18.7%,68.9%,-40.5%,2.0,-4.2%,high_fcf_yield,False,0,good,2026-03-31
1303,1.1%,MIDD,-1.5,INDUSTRIALS,8B,164.7,101M,14.8,7.1%,-3.6%,37.9%,-2.5%,9.0,-4.4%,low_evebitda,False,1,partial,2026-03-31
1304,1.0%,CAR,-1.5,INDUSTRIALS,6B,180.7,2B,7.1,-71.7%,-13.9%,25.2%,10.9%,0.1,-2.8%,high_fcf_yield,False,0,good,2026-03-31
1305,0.9%,ACHC,-1.7,HEALTHCARE,2B,25.9,90M,19.7,-18.7%,-46.9%,60.6%,9.7%,0.2,-20.0%,high_earnings_yield,False,1,partial,2026-03-31
1306,0.8%,ARM,-1.8,TECHNOLOGY,228B,213.3,2B,284.4,0.4%,0.4%,95.4%,18.6%,0.1,7.9%,low_ps,False,1,partial,2026-03-01
1307,0.8%,FUN,-1.8,CONSUMER CYCLICAL,2B,22.0,39M,89.6,-6.8%,-70.5%,57.7%,-43.7%,0.1,-20.2%,high_earnings_yield,False,0,good,2026-03-31
1308,0.7%,PLTR,-1.9,TECHNOLOGY,358B,139.1,6B,220.1,0.6%,0.5%,82.4%,31.6%,0.0,18.3%,low_ps,False,1,partial,2026-03-31
1309,0.6%,ENOV,-1.9,HEALTHCARE,2B,26.5,26M,130.2,1.3%,-77.9%,59.8%,-52.6%,0.3,-30.9%,high_earnings_yield,False,0,good,2026-03-31
1310,0.5%,GT,-1.9,CONSUMER CYCLICAL,2B,7.1,58M,4.9,-1.5%,-83.8%,18.4%,3.1%,1.4,-9.5%,high_earnings_yield,False,0,good,2026-03-31
1311,0.5%,PRGO,-2.0,HEALTHCARE,2B,11.8,26M,20.3,8.8%,-86.8%,35.1%,5.9%,0.2,-16.7%,high_earnings_yield,False,0,good,2026-03-31
1312,0.4%,TNDM,-2.0,HEALTHCARE,1B,15.5,39M,719.7,-2.8%,-19.3%,53.8%,-18.2%,1.6,-23.2%,low_evebitda,False,1,partial,2026-03-31
1313,0.3%,SATS,-2.2,COMMUNICATION SERVICES,37B,127.2,600M,29.5,-4.0%,-63.7%,37.1%,-118.1%,0.9,-54.1%,high_earnings_yield,False,0,good,2026-03-31
1314,0.2%,CRWD,-2.8,TECHNOLOGY,136B,527.8,1B,683.2,0.9%,-0.1%,74.9%,-5.4%,0.2,-1.7%,low_evebitda,False,1,partial,2026-05-01
1315,0.2%,CYTK,-5.1,HEALTHCARE,8B,64.0,242M,390.3,-6.8%,-10.0%,-22.3%,-695.4%,2.2,-55.1%,low_ps,False,1,partial,2026-03-31
1316,0.1%,BE,-5.5,INDUSTRIALS,91B,283.4,3B,2687.6,0.1%,-0.1%,30.9%,5.5%,4.1,-2.0%,low_evebitda,False,1,partial,2026-03-31
