# portfolio: rf_vw_gr_top_n_10
# run_date: 2026-05-18
# scoring: composite
# universe_size: 986
# regime: REDUCED 50% (SPY 12m=+26.6% > 25%)
# regime_exposure: 50%
rank,percentile,ticker,company_name,score,sector,market_cap,price,liquidity,pe_ratio,fcf_yield,earnings_yield,ttm_gross_margin,ttm_operating_margin,debt_to_ebitda,roa,top_factor,value_trap,missing_factor_count,data_quality,feature_available_date,weight_pct,alloc_pct
1,100.0%,WINA,Winmark Corporation,2.9,CONSUMER CYCLICAL,1B,380.5,22M,33.9,3.2%,3.0%,96.4%,63.4%,0.0,167.4%,low_ps,False,0,good,2026-03-31,10.0%,5.0%
2,99.9%,LVS,Las Vegas Sands Corp,2.1,CONSUMER CYCLICAL,36B,54.3,287M,22.4,5.1%,4.5%,28.2%,23.7%,0.5,7.4%,low_ps,False,0,good,2026-03-31,10.0%,5.0%
3,99.8%,LOW,Lowe's Companies Inc,1.8,CONSUMER CYCLICAL,128B,229.2,615M,19.3,6.0%,5.2%,33.5%,11.8%,0.5,12.3%,low_ps,False,0,good,2026-05-01,10.0%,5.0%
4,99.7%,TGTX,TG Therapeutics Inc,1.7,HEALTHCARE,5B,33.8,91M,12.1,-0.5%,8.3%,83.6%,20.0%,0.0,42.1%,low_ps,False,1,partial,2026-03-31,10.0%,5.0%
5,99.5%,FTNT,Fortinet Inc,1.4,TECHNOLOGY,63B,84.3,557M,33.8,3.6%,3.0%,80.8%,30.6%,0.4,17.8%,low_ps,False,1,partial,2026-03-31,10.0%,5.0%
6,99.3%,CCL,Carnival Corporation,1.2,CONSUMER CYCLICAL,37B,26.4,784M,11.9,8.1%,8.4%,37.5%,16.9%,0.4,6.0%,high_earnings_yield,False,0,good,2026-04-29,10.0%,5.0%
7,99.2%,DXC,DXC Technology Co,1.2,TECHNOLOGY,2B,9.4,50M,3.8,64.3%,26.6%,19.7%,5.4%,0.6,3.2%,high_fcf_yield,False,0,good,2026-03-01,10.0%,5.0%
8,99.1%,KSS,Kohl's Corporation,1.1,CONSUMER CYCLICAL,2B,14.5,63M,6.2,56.5%,16.3%,40.6%,3.3%,0.1,2.0%,high_fcf_yield,False,0,good,2026-05-01,10.0%,5.0%
9,99.0%,COKE,Coca-Cola Consolidated Inc.,1.0,CONSUMER DEFENSIVE,2B,205.1,102M,3.5,31.1%,28.6%,39.4%,13.2%,0.2,12.3%,high_fcf_yield,False,0,good,2026-03-31,10.0%,5.0%
10,98.9%,DAVE,Dave Inc,0.8,TECHNOLOGY,4B,272.0,151M,20.0,7.3%,5.0%,84.0%,8.0%,0.8,40.2%,low_ps,False,1,partial,2026-03-31,9.7%,4.8%
11,98.7%,HALO,Halozyme Therapeutics Inc,0.8,HEALTHCARE,8B,64.1,90M,23.8,8.5%,4.2%,81.9%,58.4%,1.6,12.5%,high_fcf_yield,False,1,partial,2026-03-31,,
12,98.6%,MAR,Marriott International Inc,0.8,CONSUMER CYCLICAL,97B,361.7,514M,37.5,2.7%,2.7%,21.3%,15.8%,0.5,9.4%,high_div_yield,False,0,good,2026-03-31,,
13,98.5%,VRSN,VeriSign Inc,0.7,TECHNOLOGY,25B,268.7,234M,29.9,4.3%,3.3%,88.2%,67.7%,0.0,62.3%,low_ps,False,0,good,2026-03-31,,
14,98.4%,BBWI,Bath & Body Works Inc.,0.7,CONSUMER CYCLICAL,4B,19.7,112M,6.7,20.0%,15.0%,43.7%,15.4%,0.5,12.8%,high_fcf_yield,False,0,good,2026-05-01,,
15,98.3%,MTD,Mettler-Toledo International Inc,0.7,HEALTHCARE,23B,1124.5,193M,26.2,3.7%,3.8%,57.5%,27.8%,0.1,23.4%,low_ps,False,1,partial,2026-03-31,,
16,98.2%,GFI,Gold Fields Ltd ADR,0.7,BASIC MATERIALS,40B,44.9,131M,8.3,9.6%,12.0%,52.5%,48.3%,0.1,31.7%,high_earnings_yield,False,0,good,2026-03-31,,
17,98.1%,YELP,Yelp Inc,0.7,COMMUNICATION SERVICES,2B,27.1,28M,11.0,20.1%,9.1%,90.3%,12.6%,0.0,15.2%,high_fcf_yield,False,1,partial,2026-03-31,,
18,98.0%,CALM,Cal-Maine Foods Inc,0.6,CONSUMER DEFENSIVE,4B,76.1,49M,5.2,20.0%,19.3%,33.8%,25.1%,0.0,22.1%,high_fcf_yield,False,0,good,2026-04-29,,
19,97.9%,IT,Gartner Inc,0.6,TECHNOLOGY,10B,148.5,231M,14.2,11.3%,7.0%,67.7%,15.8%,0.1,9.0%,high_fcf_yield,False,1,partial,2026-03-31,,
20,97.8%,PARR,Par Pacific Holdings Inc,0.6,ENERGY,3B,65.7,90M,8.8,9.9%,11.3%,18.1%,7.2%,0.4,9.1%,high_earnings_yield,False,1,partial,2026-03-31,,
21,97.7%,RNG,Ringcentral Inc,0.6,TECHNOLOGY,4B,45.6,81M,91.5,14.1%,1.1%,71.2%,5.0%,3.2,2.9%,high_fcf_yield,False,0,good,2026-03-31,,
22,97.6%,APA,APA Corporation,0.6,ENERGY,13B,35.6,270M,8.8,14.1%,11.4%,38.1%,30.9%,0.1,7.5%,high_fcf_yield,False,0,good,2026-03-31,,
23,97.5%,PRG,PROG Holdings Inc,0.6,INDUSTRIALS,1B,35.8,18M,10.0,22.2%,10.0%,84.9%,8.8%,-0.0,9.1%,high_fcf_yield,False,0,good,2026-03-31,,
24,97.4%,BHP,BHP Group Limited,0.6,BASIC MATERIALS,216B,84.7,182M,10.0,9.7%,10.0%,82.7%,41.0%,0.1,18.7%,high_earnings_yield,False,0,good,2026-03-01,,
25,97.3%,CHTR,Charter Communications Inc,0.6,COMMUNICATION SERVICES,21B,165.2,709M,4.2,21.1%,23.8%,44.9%,24.3%,0.2,3.2%,high_earnings_yield,False,1,partial,2026-03-31,,
26,97.2%,CMCSA,Comcast Corp,0.6,COMMUNICATION SERVICES,98B,27.0,914M,4.9,22.4%,20.2%,60.1%,16.7%,0.3,7.3%,high_fcf_yield,False,0,good,2026-03-31,,
27,97.1%,AGX,Argan Inc,0.5,INDUSTRIALS,10B,680.3,196M,70.0,4.3%,1.4%,20.5%,14.3%,0.0,11.6%,low_ps,False,0,good,2026-05-01,,
28,97.0%,GCT,GigaCloud Technology Inc Class A Ordinary Shares,0.5,TECHNOLOGY,1B,40.2,37M,10.8,12.4%,9.3%,23.3%,11.2%,0.6,11.4%,high_fcf_yield,False,1,partial,2026-03-31,,
